"election_dt"	"contest_name"	"name_on_ballot"	"party_cd"	"ballot_count"	"FTP_Date"
"11/07/2006"	"NC STATE HOUSE DISTRICT 110"	"Jim Long"	"DEM"	5404	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 110"	"Debbie Ann Clary"	"REP"	8888	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 111"	"Betsy H. Fonvielle"	"DEM"	6367	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 111"	"Tim Moore"	"REP"	9841	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 112"	"Bob England"	"DEM"	14169	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 112"	"David L. Reno"	"REP"	5894	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 113"	"Trudi Walend"	"REP"	19026	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 114"	"Susan C. Fisher"	"DEM"	16073	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 114"	"Mike Harrison"	"REP"	8933	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 115"	"D. Bruce Goforth"	"DEM"	18584	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 115"	"Eric Gorny"	"REP"	8892	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 116"	"Doug Jones"	"DEM"	12420	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 116"	"Charles C. Thomas"	"REP"	12840	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 117"	"Gordon Hoots"	"DEM"	8088	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 117"	"Carolyn K. Justus"	"REP"	16783	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 118"	"Ray Rapp"	"DEM"	16712	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 118"	"Chris Gowan"	"REP"	7445	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 119"	"Phil Haire"	"DEM"	13158	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 119"	"Marge Carpenter"	"REP"	9292	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 012"	"William L. Wainwright"	"DEM"	7941	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 012"	"John Percy Wetherington, Jr."	"REP"	4040	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 120"	"Roger West"	"REP"	19066	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 013"	"G. Malcolm Fulcher, Jr."	"DEM"	10201	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 013"	"Patricia (Pat) McElraft"	"REP"	14304	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 014"	"Kever M. Clark"	"DEM"	3785	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 014"	"George G. Cleveland"	"REP"	5238	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 015"	"Jean Hawley"	"DEM"	2415	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 015"	"Robert Grady"	"REP"	3920	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 016"	"Carolyn Justice"	"REP"	14918	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 017"	"Allan Dameron"	"DEM"	8838	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 017"	"Bonner Stiller"	"REP"	14619	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 018"	"Thomas E. Wright"	"DEM"	8007	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 018"	"Frankie Roberts"	"REP"	4590	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 019"	"Danny McComas"	"REP"	14850	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 002"	"Timothy L. (Tim) Spear"	"DEM"	12193	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 002"	"Daniel M. Beall"	"REP"	5547	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 020"	"Dewey L. Hill"	"DEM"	10164	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 020"	"R. C. (Ray) Gilbert"	"REP"	6026	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 021"	"Larry M. Bell"	"DEM"	9215	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 022"	"William Brisson"	"DEM"	10267	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 023"	"Joe Tolson"	"DEM"	7924	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 023"	"Henry Williams, II"	"REP"	3228	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 024"	"Jean Farmer-Butterfield"	"DEM"	7987	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 025"	"Carnell Taylor"	"DEM"	5268	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 025"	"Bill Daughtridge"	"REP"	8444	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 026"	"Leo Daughtry"	"REP"	12169	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 027"	"Michael H. Wray"	"DEM"	13839	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 028"	"James H. Langdon, Jr."	"REP"	12687	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 029"	"Larry D. Hall"	"DEM"	13295	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 003"	"Alice Graham Underhill"	"DEM"	10772	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 003"	"Michael Speciale"	"REP"	8568	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 030"	"Paul Luebke"	"DEM"	12033	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 031"	"H. M. (Mickey) Michaux"	"DEM"	11555	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 032"	"Jim Crawford"	"DEM"	10531	"12/08/2006"
