,year,chamber,district_number,winner,DEM,REP,LIB,CST,GRE,UNA,REP_wasted,DEM_wasted,wasted,dem_percent
103,2002-01-01,house,84,REP,0.0,14422.0,2719.0,0.0,0.0,0.0,14421.0,0.0,14421.0,0.0
104,2002-01-01,house,85,REP,7424.0,10318.0,0.0,0.0,0.0,0.0,2893.0,7424.0,10317.0,0.41844211475594634
105,2002-01-01,house,86,DEM,11586.0,8019.0,0.0,0.0,0.0,0.0,8019.0,3566.0,11585.0,0.5909716908951798
106,2002-01-01,house,87,REP,11132.0,11813.0,0.0,0.0,0.0,0.0,680.0,11132.0,11812.0,0.4851601656134234
107,2002-01-01,house,88,REP,0.0,12549.0,0.0,0.0,0.0,0.0,12548.0,0.0,12548.0,0.0
108,2002-01-01,house,89,REP,0.0,12912.0,2107.0,0.0,0.0,0.0,12911.0,0.0,12911.0,0.0
109,2002-01-01,house,9,DEM,10957.0,5715.0,201.0,0.0,0.0,0.0,5715.0,5241.0,10956.0,0.6572096928982726
110,2002-01-01,house,90,DEM,9395.0,8415.0,0.0,0.0,0.0,0.0,8415.0,979.0,9394.0,0.5275126333520495
111,2002-01-01,house,91,REP,8019.0,10548.0,0.0,0.0,0.0,0.0,2528.0,8019.0,10547.0,0.4318952981095492
112,2002-01-01,house,92,REP,0.0,16881.0,2614.0,0.0,0.0,0.0,16880.0,0.0,16880.0,0.0
113,2002-01-01,house,93,REP,8698.0,15591.0,562.0,0.0,0.0,0.0,6892.0,8698.0,15590.0,0.35810449174523445
114,2002-01-01,house,94,REP,0.0,17110.0,3029.0,0.0,0.0,0.0,17109.0,0.0,17109.0,0.0
115,2002-01-01,house,95,REP,0.0,14613.0,0.0,0.0,0.0,0.0,14612.0,0.0,14612.0,0.0
116,2002-01-01,house,96,REP,6784.0,9822.0,282.0,0.0,0.0,0.0,3037.0,6784.0,9821.0,0.4085270384198482
117,2002-01-01,house,97,REP,7760.0,11859.0,650.0,0.0,0.0,0.0,4098.0,7760.0,11858.0,0.3955349406187879
118,2002-01-01,house,98,REP,9927.0,13661.0,0.0,0.0,0.0,0.0,3733.0,9927.0,13660.0,0.42084958453450905
119,2002-01-01,house,99,DEM,10636.0,0.0,0.0,0.0,0.0,0.0,0.0,10635.0,10635.0,1.0
120,2002-01-01,senate,1,DEM,32723.0,16392.0,0.0,0.0,0.0,0.0,16392.0,16330.0,32722.0,0.6662526722997048
121,2002-01-01,senate,10,DEM,21927.0,18290.0,0.0,0.0,0.0,0.0,18290.0,3636.0,21926.0,0.5452171967078598
122,2002-01-01,senate,11,DEM,26471.0,16636.0,914.0,0.0,0.0,0.0,16636.0,9834.0,26470.0,0.6140766000881528
123,2002-01-01,senate,12,REP,19253.0,26225.0,0.0,0.0,0.0,0.0,6971.0,19253.0,26224.0,0.423347552662826
124,2002-01-01,senate,13,DEM,21602.0,0.0,0.0,0.0,0.0,0.0,0.0,21601.0,21601.0,1.0
